movie_name,id,short_comment,score,comment_time,votes,Fake
送你一朵小红花,豆友227152065,我等屁民怎配看天龙太子作品,1,2022-07-09 22:49:17,123,1
这个杀手不太冷静,genzo,挺好笑的，像小品。,2,2022-02-06 12:00:33,4,1
花木兰,苏大强,搞出这么个玩意？？？,1,2020-09-05 10:49:43,107,1
一周的朋友,程愈,我不懂打低分人的想法，这种剧本来就是 傻白甜的故事。纯粹简单。我觉得还行,5,2022-10-15 21:44:07,0,1
盛夏未来,sorrynotsorry,突然感觉张子枫很像柯佳嬿诶（相貌和表演方式）,3,2021-07-31 13:15:25,4,1
一点就到家,虎丘真人,剧情简陋，粉丝狂吹,2,2020-10-04 10:10:21,365,1
盛夏未来,里尔克之心,如果不是吴磊这种水平的电影我此生不可能打开。,2,2022-07-28 17:05:19,0,1
花木兰,凡人榜,壮观！！！！华丽！！！！动人！！！！女性力量！！,5,2020-09-04 21:38:05,15,1
独行月球,史妖妖,真是元气满满的一天啊,5,2022-07-29 23:38:25,47,1
这个杀手不太冷静,握不住的灵魂,一张毫无大荧幕魅力的脸撑不起这样的角色。,1,2022-02-14 18:52:15,4,1
这个杀手不太冷静,电锯觉罗炫,6.8/10 ,4,2022-02-04 15:55:07,2,1
独行月球,毛立新思,这片儿很好看呀！7.5绝对值的，豆瓣现在装逼的人真多。,5,2022-10-09 13:34:30,85,1
唐人街探案3,月印万川,讲道理是不难看的……报复性加一星。,4,2021-02-22 00:26:01,51,1
这个杀手不太冷静,影启缘末,不装了，我摊牌了，我就是话剧怎么的吧,3,2022-02-06 18:55:27,0,1
这个杀手不太冷静,生活如果是跟团,非常无聊，怀疑全是水军,1,2022-02-03 22:08:02,46,1
这个杀手不太冷静,tentwosix,魏翔太可爱了,4,2022-02-04 18:14:53,0,1
盛夏未来,薛定谔的脑子,没必要的情节,1,2021-07-30 18:08:14,56,1
唐人街探案3,认真学习的妞妞,别被开头劝退，看下去。,5,2021-02-17 12:42:13,13,1
送你一朵小红花,ZHOU-HMMM,全员演技在线😭,5,2021-04-04 14:36:35,110,1
独行月球,宣纸画纸习题纸,能给负分吗卧槽 浪费我时间,1,2022-07-29 13:50:48,1206,1
唐人街探案3,下辈子再努力吧,日本国粹抠死不累，居然是谁一谁压而不是刚大幕（我不服）。合理怀疑因为过于歧视日本被精日打低分，日瓣实锤。我觉得很好笑，我很喜欢这么烂的笑点。,4,2021-02-14 18:14:52,4,1
一点就到家,一片五花肉,阿里巴巴年度最佳广告👍,4,2020-10-12 21:59:45,2,1
独行月球,233🍙,精神强奸*,1,2022-07-31 18:41:43,295,1
唐人街探案3,7750,本来想打个4颗星，看到各位大侠的评论，诚惶诚恐坐立不安的打了个5星。对不起，我觉得很好看，我所认为的电影是大众艺术品，而不是高坐庙堂之上身披华丽霓裳的供人跪拜的泥塑。希望我国新生代的导演能够创作更多有价值有意思有趣味的电影！加油！,5,2021-02-18 22:26:00,9,1
盛夏未来,鹏,张子枫真的丑,1,2021-07-30 11:10:35,364,1
心灵奇旅,琼斯黄,制作为故事加成不少，情绪浓厚情感浮躁。,3,27/12/2020 10:35,6,1
送你一朵小红花,和乐yi,很温暖 很温暖呜呜呜呜,5,2020-12-31 20:14:06,1861,1
一周的朋友,慕伊一,太好看了，这就是我的青春,5,2022-06-18 18:37:46,9,1
一点就到家,水水,十岁观影适龄,2,2020-10-07 23:22:01,0,1
花木兰,喵,木木木木木木木木木木，放棵树演，风吹过可能都比木头人生动的多,1,2020-09-05 10:42:46,81,1
一周的朋友,唱日落,救大命这是我第一部中途离场的电影,1,2022-06-18 15:20:38,125,1
送你一朵小红花,米米小小,非常极其无聊的电影，浪费我钱,1,2020-12-31 23:24:17,170,1
花木兰,不要慌问题不大,谁能说出这部电影的可取之处？一个就行,1,2020-09-05 10:48:18,81,1
送你一朵小红花,逗猫草,太难看了，四字好好练习台词吧，简直是灾难，毫无演技,1,2021-01-01 08:08:50,173,1
花木兰,Flea,把电影票省下来去残疾人医院做慈善，毕竟除了面瘫，还有更多残障人士需要我们的关心和帮助。,2,2020-09-05 09:10:47,70,1
一点就到家,郝小勺,挺凑的，感觉刘昊然戏路好窄。,2,2020-10-09 17:24:46,13,1
送你一朵小红花,Lemon,又哭又笑 是温暖的！,5,2020-12-31 20:26:30,1021,1
心灵奇旅,穷人家没有空调,斌不觉得好看。设定很棒,2,8/5/2022 23:06,0,1
这个杀手不太冷静,孙智正,魏老师不容易,3,2022-02-06 21:49:25,1,1
一周的朋友,kiki204629,除了人好看之外，就木有了。,2,2022-08-07 16:54:35,0,1
独行月球,Filmer,这踏马7分？这踏马7分？沈腾演得远超期待，笑点、泪点、视听感受都很棒，导演太能调动观众情绪了！难道是憋得太狠？反正我觉得这是近两年院线看过的最好的电影，几乎完美！,5,2022-07-31 23:22:07,73,1
一周的朋友,秀蝈蝈,喜欢赵今麦哎,5,2022-08-21 03:01:07,0,1
心灵奇旅,g1823,get了bx同款,3,4/2/2021 17:18,0,1
盛夏未来,三十,3.5,3,2021-12-28 18:15:21,0,1
心灵奇旅,O几™,看不下去。,2,17/4/2022 1:17,0,1
唐人街探案3,從良,不知道为啥评分这么低。,5,2021-02-17 12:48:41,11,1
一周的朋友,蛋挞达人,赵今麦好会哭🥰希望她以后多演电影,5,2022-06-18 14:42:21,41,1
盛夏未来,子弹飞越大吉岭,冲动打分，目前我看过最好的国产青春片！,5,2021-08-02 22:19:01,51,1
一周的朋友,Maruko,他好帅啊,3,2022-08-09 17:21:59,0,1
唐人街探案3,狗小白,这电影打分打成不到6分也太夸张了，我感觉7.6左右吧。妻夫木聪和刘昊然这CP我磕上了,4,2021-02-14 17:31:01,118,1
