,movie_name,id,short_comment,score,comment_time,votes,Fake,Marker1,Marker2,Marker3,Marker4,Marker5
0,一点就到家,男娼起义,就像高考的高分作文，很会解析命题，并找到一个免俗的突破口。把送快递从送到快递变成送出快递，格局一下就以小博大了。,4,2020-09-29 08:39:45,1667,0,0,0,0,0,0
1,一点就到家,Indecent time,看的我想在影院鼓掌，能把一个很容易拍的无聊的素材拍的妙趣横生，甚至还和陈可辛一起自黑了一把（中国合伙人），许宏宇证明《喜欢你》并非出道即巅峰,5,2020-09-29 15:37:12,1321,0,0,0,0,0,0
2,一点就到家,阿德,看完只想说导演许宏宇未来太可期了，对类型的糅合、叙事的节奏感、喜剧的创新意识，秒杀多数国产导演。更难能可贵的是，在这样一个回家为主题的命题作文下，能达到这个完成度，真的是超出预期。电影里最打动我的一句台词，“我们常常在正确的事与容易的事情之间做选择。 ”。PS：个人觉得没有必要过分放大结尾的正能量或主旋律，懂的人都懂，反而更应该鼓励导演在有限条件下的创新意识。真的太爱导演的节奏感了。,4,2020-10-03 16:12:42,806,0,0,0,0,0,0
3,一点就到家,内陆飞鱼,喜欢《一点就到家》这个故事，把年轻人创业、电商、带货这些时下热门元素运用得很到位，把青春励志片的激情热血，喜剧片的轻松诙谐实现了有机结合，做到与时俱进。作为云南人，要强烈推荐影片！普洱市澜沧县的景迈山古茶区，这里既有最好的咖啡原料，也有最好的普洱茶，古茶山、古寨子风光旖旎，云雾缭绕，拉祜族能歌善舞、热情好客，去景迈山的安静民宿里待上一段时间，简直就是一个洗涤心灵之旅。许宏宇会拍，拍人，拍景，拍出了真正的美。,4,2020-10-03 22:37:47,659,0,0,0,0,0,0
4,一点就到家,滋养丰富风味绝,秀兵在北京工作十年存款19万，也就是一年1.9w，平均一个月1.5k左右。只要我每个月存1.5k，十年后我可以有19万！假设他每天送180件快递，月休四天，一个月工资差不多是4.7k，减掉每天20块的饭钱六百，减掉存下的1.5k，大概还有2.5k，秀兵看起来不是大手脚的人就算有些小开支吧估计也就五百，所以，北京的地下室房租一个月要2k！！！！,4,2020-10-04 09:19:13,309,0,0,0,0,0,0
5,一点就到家,伊叶sara,色彩丰富的云南风景，酣畅淋漓的故事节奏，相当于做了一个眼球和心理spa，舒服的观影体验。,5,2020-10-04 11:32:16,3,0,0,0,0,0,0
6,一点就到家,影志,捧腹欢乐的幽默洋溢全片，幸福纠缠的泪水贯穿始末，励志与辛酸只有过来人更深有体会，而这竟是一个没有原型、完全原创的故事。三男主平分秋色，不同的人生线碰撞后终将拧成一根解不开的绳，直捅云天。“尹昉：突然有点想喝茶。彭昱畅：其实你这个愿望我可以帮你，来，爸爸给你泡茶”…太多恰如其分的朋友调侃，破涕为笑，苦也是一种味道。这样的电影最适合影院，一切梦幻元素都能在此圆满。而《瑞士军刀男》般激情治愈的音乐、邓布利多老哥们的名言…都是电影带来的更多小惊喜。艾怡良的“Forever Young”前奏一起，鼻子就发酸，这个导演太懂了。“所有的出发都是为了回家”城市与乡情的重量，咖啡与茶的冲突，年轻与年长的代际，古老与时髦的交迭，在如此一个云南小镇，融合化解…你还能看到自己的脚跟吗？,5,2020-10-04 21:24:31,119,0,0,0,0,0,0
7,一点就到家,女神的秋裤,城市的路很干净，但我走过留不下脚印……被名字耽误的片子，出乎意料还挺好看。节奏轻快，剪辑挺好，有笑点有腐点有泪点，理想主义的成功励志故事虽然采用了超现实的表达，但道理现实质朴。风口猪都能飞，但摔死的也是猪。影片没有急功近利的鼓吹成功学，而是让人思考做一件事的真正目的。保持乐观，改变世界的初心和一份良知，哪怕失败，失败的是事，不是人。三个演员，是演员，不是鲜肉。,4,2020-10-03 21:37:23,255,0,0,0,0,1,0
8,一点就到家,sum,好看 国庆最佳,4,2020-10-04 23:21:08,1,1,1,0,1,1,0
9,一点就到家,种花家的宝宝,😂期待彭昱畅的剧抛脸，完全不敢认,5,2020-10-04 20:19:21,1,1,1,1,1,1,1
10,一点就到家,丑奴儿,这是一部有远山树林的味道的电影，OMG，去二刷！流水不争先，争的是滔滔不绝。寄言燕雀莫相唣，自有云霄万里高。好好学习，天天向上。,5,2020-09-28 23:14:18,398,0,0,0,0,0,0
11,一点就到家,嘟嘟熊之父,表情和动作先于台词，音效和配乐重于台词，剪辑和运镜密于台词。一部漫画电影，一部游乐园电影，一部周星驰电影！,4,2020-10-04 17:36:02,75,0,0,0,0,1,0
12,一点就到家,同志亦凡人中文站,最大感受就是国外对中国品牌的认识度越来越高了，可能每个无心插柳的国产品牌背后，都有一个“一点就到家”的故事吧。看年轻人热血创业就像看八九点钟的太阳升起，哪怕被晃到眼睛也会赞叹一声真好。许宏宇是个鬼马而且很有类型片天赋的导演啊，不明白为啥要用文艺片的尺子去衡量他...,4,2020-11-04 12:54:31,51,0,0,0,0,0,0
13,一点就到家,mоmο,点映看完了咋不能标记啊……挺好的 比我想象的好很多 故事简单但节奏把握很好 就是太理想了,4,2020-10-04 10:31:26,2,0,0,0,0,0,0
14,一点就到家,黄青蕉,扶贫题材能拍成这样不错了，刘昊然可可爱爱！奶奶狗狗！,4,2020-10-05 16:01:02,66,1,1,1,0,1,1
15,一点就到家,眠去,这才是中国当下青年们该有的状态吧！没有无病呻吟，无关风花雪月，只有热血、执着和一颗真心。尹昉的长相太高级，彭彭一笑起来就晴空万里，而刘昊然骨子里还是那个贵公子。电影结尾的咖啡与茶，两代人之间的和解非常动人。推荐给所有年轻人看！,5,2020-10-04 11:17:45,108,0,0,0,0,0,0
16,一点就到家,未注销,看了穿越火线后对许宏宇的最新导演电影很是期待来着，他的确没让我失望。节奏很快，剪辑上一如既往的有想法，配乐非常棒。三个年轻人的励志喜剧故事，本以为会是小小的愿望那种走向，结果却非常喜人，中二热血。导演很会抓点，完成得很不错的命题作文，我觉得年轻人一定会喜欢这部电影的。如果时间多点剧本更充实点会更好。影片本身值四星，短时间内效率这么高，再加一颗！,5,2020-10-04 00:33:05,249,0,0,0,0,0,0
17,一点就到家,天马星,竟然很好看，许宏宇发挥稳定，延续《喜欢你》的古灵精怪与奇思妙想，喜剧桥段靠的演员间的化学反应而不是丢段子，这一点大概能甩开90%大陆喜剧导演。,4,2020-09-25 12:17:17,121,0,0,0,0,0,0
18,一点就到家,Judith,2号看的点映，看完以后就手舞足蹈推荐给爸妈，还发了朋友圈推荐，这么优秀的影片应该被更多人看到！小一点的票房不应该只是一点点！在这里要重点夸一下刘昊然，三人决裂的情绪层层递进的爆发和第二次见心理医生时从迷茫到逐渐找到方向的转变是全片演技的最高光，魏晋北应该是三人组里最难演好的角色，但他用自己的表演收获了观众的共情，使魏晋北的种种不那么讨喜的行为变得可以理解，也使这个看似有点自私的角色也变得可爱起来，这种带脑子演戏的演员，再多的夸奖都值得！,5,2020-10-04 00:51:36,220,0,1,0,0,0,0
19,一点就到家,壹安²,“我和我的家乡之云南合伙人”把创业改变家乡这个主旋律式命题拍的好玩好看！印象最深的是彭彭的演讲发自肺腑，老奶奶对集市的回忆，收获一份原始的美好。刘彭尹三人组合莫名和谐，和《喜欢你》金城武搭配周冬雨一样，许宏宇太懂不同演员间奇妙的化学反应了~,4,2020-10-04 17:59:33,41,0,0,0,0,0,0
20,一点就到家,望仔放弃减肥了,本子相当可以，城市与乡村的交融，理想与金钱的冲突，传统与外来的拉扯，一杯茶或咖啡的香气中彼此和解。三个年轻人的互动各种意义上的好看😏刘昊然演技依然可以吹！尹昉请再多露一点肌肉！彭彭只要保持身材不发胖演技真的会有颜值加成！啊年轻人真好啊…,4,2020-10-03 18:29:48,176,0,0,0,0,0,0
21,一点就到家,猫不然,好看好看竟然是咖啡片儿！没做任何背调就偶然来看这部电影了，却是惊喜连连。起初像鲜肉版的《心花路放》，丝毫不油腻、干干净净的三个90后男孩，上演一场云南创业寻根之旅。彭昱畅的演技很有惊喜感，既有蠢萌淳朴又没过多的表演痕迹，第二重惊喜是云南咖啡种植梦，只要给一个理由，哪个年轻人不想回家，商业故事背后猛击年轻人共鸣。扑面而来的云南茶树咖啡树，清晨打在老树上的第一缕橙色阳光，都让人非常治愈。想去云南了！,5,2020-10-04 13:31:16,55,0,0,0,0,0,0
22,一点就到家,小烨,不愧是许宏宇，镜头语言和剪辑还是高手，在树上那一段戏我以为自己在看《怦然心动》。嘻嘻哈哈就把阶级分化、城乡矛盾、父子关系等问题说出来了，全程高潮，好玩也深刻。看完觉得生活又有了希望。,5,2020-10-04 22:04:36,38,0,0,0,0,0,0
23,一点就到家,Shirley Wang,优缺点都很明显的片子。在国庆档各中大片当中显得特别可爱，脱贫攻坚献礼片能拍得如此清新脱俗也是不容易，四星鼓励一下。,4,2020-09-28 17:42:14,1,0,0,0,0,0,0
