,movie_name,id,short_comment,score,comment_time,votes,Fake,Marker1,Marker2,Marker3,Marker4,Marker5
0,送你一朵小红花,谋杀游戏机,跨年有这样一部电影上映真是再好不过，首先是大众层面的好看，一部非常流畅、情感饱满的商业片，其次它的主题——跨过难关，积极拥抱生活也很符合2020年的社会情绪。韩延导演有了上次《滚蛋吧！肿瘤君》的经验，各方面处理都更加成熟，将癌症、死亡这样中国人谈之色变的字眼引向温暖和力量，不去刻意做病情展示，更注重探讨患者的心理疗愈、每个人与家庭与社会之间的情感纽带。其实就算不讲癌症，这样的故事也有更广泛意义上的治愈作用。除了雨夜、家宴等肯定会成为泪点的戏份之外，片中其实很多小的情节也很戳我。比如韦一航和妈妈在卧室整理照片那段，母子俩互相坦诚了心底最害怕的事情，只有当他们向对方袒露出自己的软肋时，才互相理解了彼此。爱是很复杂的东西，有时候爱就是亏欠，就是负担，所以爱才沉甸甸呀。,4,2020-12-31 19:57:17,11751,0,0,0,0,0,0
1,送你一朵小红花,redemption,“在那两周之中，我体验到的完美时刻和完美日子要比我在生命中最后5年体验到的还多，或许，如果我的生活能以诊断之前的方式延续5年，我的完美时刻和完美日子也不会有如此之多。审视一下自己的时间表，你能在未来看到完美日子吗？或者说，你的完美日子是否正藏在某处，而你需要想办法将它们解锁出来呢？如果我让你以打造出30个完美日子为目标，你能做到吗？实现这个目标需要多长时间呢？30天？6个月？10年？还是永远都不可能？我觉得，自己在一天中活出了一周，在一周中活出了一个月，在一个月中活出了一年。”,4,2020-12-31 19:53:56,11078,0,0,0,1,0,0
2,送你一朵小红花,沈时安,“没发光的路灯想冬眠。”,4,2020-12-31 19:54:36,8742,0,0,0,0,0,0
3,送你一朵小红花,嘟嘟熊之父,一幅徐徐展开的自画像，无须加诸过多的戏剧注解，更与励志鸡汤无关。易烊千玺再次证明了他对于表演的超群领悟力，他几乎走向“演”的反面，不追求爆发，而是小心翼翼地隐藏，用紧绷的身体和躲闪的眼神靠近一种充满敌意的留恋，那里既有情窦初开的清澈，又有千帆过尽的沧桑。有那么多闪烁其词和言不由衷的时刻，唯独表白是坚定的，因为那一刻，他不再惧怕袒露自我，也不再纠结于得到还是失去。,4,2020-12-31 20:11:34,7898,0,0,0,0,0,0
4,送你一朵小红花,宇宙牌儿香烟,一个让我看得哭哭笑笑的好电影，导演把每个生活日常刻画得温暖细腻，不卖惨不煽情却感染力十足。表演方面，尽管已经有着很高的心理预期，易烊千玺几处高光表演依然震撼到了我，自然松弛的天赋型选手，分寸感拿捏精准，韦一航成为四字又一经典角色，配角演技全员在线。仔细想过，生命是不怕碎的，利刃会有柔情，每一处碎痕都绽出盈盈的笑和新年的报钟声。来年有新雪，也有春光融融。,5,2020-12-31 20:14:40,10194,0,0,0,0,0,0
5,送你一朵小红花,Remedios,中国人喜欢避谈生死，但2020年不管是对于整个社会或是对我个人来说，都是直面生死的一年。年初发小离世，年中最疼爱我的阿姨被查出乳腺癌晚期，年末的我，已经没有勇气再说我热爱生活了 。但这部电影告诉我，不需要考虑这个问题，只需要好好活在当下就好。就像韦一航，从一个丧萌的少年，变成坦荡的大人。如果不知道如何面对残酷的生活，那么，送你一朵小红花。,5,2020-12-31 20:20:12,8779,0,0,0,0,0,0
6,送你一朵小红花,葭月廿,千玺弟弟的演技长进好大,4,2020-12-31 19:50:04,6662,1,1,1,1,1,0
7,送你一朵小红花,zz,疾病并不可怕，可怕的是人有战胜它的心。承袭韩延导演《滚蛋吧！肿瘤君！》又一最新力作，香港金像奖最佳新人四字弟弟领衔主演。一朵小红花，串联起无数个与病魔抗争的个人和家庭。死亡面前，我们能做的，是保持希望和珍惜，用爱发光，战胜病魔。温情而现实，绝望又充满希望，是对2020最好的总结，也是对2021最好的期许。,5,2020-12-31 20:11:22,9782,0,0,0,0,0,0
8,送你一朵小红花,Alice,在这个特殊的年份的最后一天看这部电影，思考生命的意义。剧情吸引人，演技在线，达到预期。,5,2020-12-31 20:06:10,1952,0,0,0,0,0,0
9,送你一朵小红花,和乐yi,很温暖 很温暖呜呜呜呜,5,2020-12-31 20:14:06,1861,1,1,1,1,1,1
10,送你一朵小红花,通欣粉,这是电影结束亮灯后在座位上写的，手还抖着呢！迫不及待想跟大家分享，可是脑子还是乱糟糟的。只能说，看得真过瘾！这电影好真实，也好普通，就觉得韦一航和他家人就是我们现实生活中认识的人一样！他们的开心、伤心，一切的情绪都是可以联系到我们日常生活中的！2020年的最后一天有《送你一朵小红花》陪我度过真的很开心！希望大家2021可以心如花木，向阳而生！,5,2020-12-31 20:10:04,8657,0,0,0,0,0,0
11,送你一朵小红花,loll63,亲情真是最打动人的，韦一航很幸福呀，喜欢夏雨，随便一个表情都是戏，别玩了多出来拍点戏吧,5,2020-12-31 20:07:38,1718,0,0,0,0,0,0
12,送你一朵小红花,子安ZAN,如果《滚蛋，肿瘤君》是抗争与反省，那《送你一朵小红花》则是在阴影之后，如何拾起生活，谨小慎微，但却又处处碰壁。看似在正常的生活下面，都是每一个人的忍耐与努力，这种反差其实非常难拍。四字弟弟真的演的特别好，他拥有一个好演员的气质与个性，是灵气。刘浩存也是，所以这个片子题材很深，但是却用一种轻松积极的态度娓娓道来。突然想到在B站癌症逝去的Up主，最后还在努力生活，勇气的反复，这才是最动人的地方吧。,5,2020-12-31 20:28:57,1746,0,0,0,0,0,0
13,送你一朵小红花,百万米朴信惠,最佳：韦一航看到老吴的爱人照片那里,5,2020-12-31 20:01:31,4992,0,1,0,0,0,0
14,送你一朵小红花,花渡,爆了！悲伤到极致，即便是有故意堆料之嫌，但也远超导演前作《滚蛋吧！肿瘤君》，成为目前国产最佳的癌症片；浪漫/甜到极致，易烊千玺和刘浩存成功接续了《喜欢你》和《超时空同居》后的甜片断档；有趣到极致，碾压《温暖的抱抱》的本年度最高级的笑点；撩到极致，即便刘浩存演技还有些青涩，但真的太美太能撩了，真是私人年度惊喜影人啊。都去看看这部电影吧，不为易烊千玺，为了这部电影的所有工作人员们，为了这个动人的故事。唯一的缺陷就是后半程还可以再精简一点。2020院线片完美收官！,5,2020-12-31 20:20:30,1487,1,1,1,1,1,1
