movie_name,id,short_comment,score,comment_time,votes
这个杀手不太冷静,已注销,不装了，我摊牌了，我觉得比原作好笑,4,2022-02-01 10:46:17,6873
这个杀手不太冷静,清欢,我摊牌了，我不装了，我觉得就是春节档黑马！很好看很好笑！煽情也恰到好处完全不尴尬！是那种又有笑点仔细想想又很辛酸的荒诞电影。魏翔三次舔刀那里全电影院都笑没气了。马丽这样丰腴的样子倒蛮适合这个扮相，太美了。,5,2022-02-01 12:32:53,4152
这个杀手不太冷静,冷水浴缸,去年就听说试映反馈很好，原版盛名下本有担忧依然被翻拍优化程度惊喜。改编删繁就简把中段不好笑也不走心的两男争一女无法做戏的情感支线删去，重点放在令人信服的励志主题上，完全弥补。本身喜剧技法足够优秀，笑点精准控制，如此导致无废戏，让好笑的地方更好笑，通俗简单有效。这群喜剧演员演三谷幸喜舞台式电影再合适不过。原片名指夕阳西下自然光就能拍得很好看的摄影词汇，而这版将不冷静的杀手置于“善用自然光隐藏摄影机”的戏剧冲突里爆发高能笑料，惊声尖笑中从《教父》致敬到《雨中曲》从昆汀调侃到一众港片，一出纯正的摄影机不能停式的元电影和迷影文化喜剧。而最电影的还是，一直演配角的演员首次演主角，演的恰好就是从未演过主角的演员被骗去演主角的故事，有着和去年《你好，李焕英》一样穿透银幕的感动，虚构不过现实，现实不过虚构。,4,2022-02-01 10:40:05,3736
这个杀手不太冷静,壹安²,又让喜剧片给整哭了，当魏翔说出“这是我第一部男主角”的时候，那种心酸我想所有的喜剧人都能体会吧！,4,2022-02-01 12:40:56,3274
这个杀手不太冷静,nil,基于改编及片名等第一印象，这部电影是属于“真香”系列。魏翔和魏成功都迎来了自己第一个虽迟但到的男一号，值得那句“好饭不怕晚”。不是段子梗喜剧，观众要跟着节奏来收一个个包袱，这才是我喜欢的喜剧类型,4,2022-02-01 10:08:15,3417
这个杀手不太冷静,伤逝,电影跟预想的一样爆笑，但比预想中的爆笑频率更密集，这个电影简直没打算让你笑停下来。电影似乎是翻拍《魔幻时刻》，但没看过，不过看这电影的时候觉得蛮本土化的，笑料都很接地气，主演魏翔我还蛮喜欢，之前的酱油演员，感觉他这次可能要翻身了，演得确实不错。这电影简直就是真中有假，假中有真，真真假假的套中套故事，全部演员都蛮幽默的，这100分钟真的是欢乐满分，电影中有很多经典的电影梗，像《教父》《雨中曲》《低俗小说》《上海滩》这些还是大家耳熟能详的，而且也很有意思，不会让人觉得生硬，马丽跟魏翔，这对搭档可以的，作为春节档唯一的合家欢纯喜剧电影，感觉会成为票房黑马，毕竟，没人会拒绝开心吧。,4,2022-02-01 10:51:24,2982
这个杀手不太冷静,山风不语,没有预期收获的就是满满的惊喜啊！舔刀子和翻译两段全场最佳，片尾魏翔的独白跟片中的魏成功在一瞬间呼应了，好笑又感动！,5,2022-02-01 10:06:49,1993
这个杀手不太冷静,Tom,目前为止开心麻花唯一一部含腾量为零但整体质量不拉胯的喜剧。如果这个抖机灵且硬蹭的片名是原罪，改成《演员的自我修养》可能更合适。,4,2022-02-02 13:36:59,1439
这个杀手不太冷静,连城易脆,希望大家不会因为这部电影是翻拍的而主动降低评价，毕竟本土化的改编不应该成为原罪！我感觉今年杀手真的有黑马成色，现场观影氛围也太好了，大家真的是全场爆笑，笑到前仰后合～我旁边的几个观众简直快笑抽了，我也是笑得脸都僵硬了。所以这部电影影评人评价的好坏已经不重要了，因为现场获得巨大快乐的观众们一定会成为这部电影的自来水，相信能很大程度抵消开心麻花这些年自带的招黑体质。今年的魏翔有点儿去年张小斐的感觉，我还挺期待接下来的票房走势的。而且魏翔这个第一个男主角的戏份完成了戏里戏外的完美契合，片尾彩蛋令人感动！如果明年魏翔上春晚的话真的是完美复刻张小斐的李焕英了。魏翔，“在不久的将来，一定会得到观众的认可”！片中的台词或许即将变成现实了。,4,2022-02-01 15:15:18,723
这个杀手不太冷静,Ice,笑点密集，魏翔本人与男主最后的那个共鸣居然莫名的感动到我了,4,2022-02-01 11:02:25,749
这个杀手不太冷静,阿卜,4.5。戏中戏还挺有意思的，这可能是目前为止为止我看过开心麻花最好的电影（自从《半个喜剧》之后看到开心麻花四个字就想躲远点），至少这部还是值票价的。如果春节档只能看一部，那就考虑这个吧。今年也够累了，我还是看点开心的吧。,5,2022-02-01 13:33:37,631
这个杀手不太冷静,mussessein,1.真的好看2.不是三俗喜剧 大多数笑点是基于戏剧结构产生的 因此好笑之余更有泪点3.戏里戏外的魏翔形成了互文 为他证明了自己而开心4.马丽当之无愧国内喜剧女演员天花板 祝愿她有天也能接到像“魏成功”这样能过足戏瘾的角色,4,2022-02-01 17:33:02,508
这个杀手不太冷静,卡比,春节选这部电影全家一起看是押对宝了，闫飞彭大魔导演，全程都在笑得打鸣。节奏也很好，哭点后面会马上接个笑点让观众不会被煽情的氛围带偏，用我爸的话说是无厘头的感动。演员也是惊喜，从来没太注意过魏翔老师，就是眼熟的麻花的经典配角，没想到是宝藏演员，致敬《雨中曲》的桥段很有感染力。后面的花絮看到他杀青后的感言，也能感觉到他是真的热爱表演，希望好演员发光发亮。,5,2022-02-01 17:25:24,384
