,creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name
0,"Aug 22, 2022",True,False,False,False,https://keithandthemovies.com/2019/10/06/review-joker-2019/,As &#8220;Joker&#8221; slow-walks us towards its eventual maelstrom of iniquity&#44; it never spells out how we should feel about its titular character&#46; ,102722497,5/5,POSITIVE,Keith Garlington,http://resizing.flixster.com/aM3SRz1K2wrW0GhcQIPQyKft234=/128x128/v1.Yzs0MDA4O2o7MTkzMDU7MjA0ODszMDA7MzAw,keith-garlington,100009656,Keith & the Movies
1,"Aug 20, 2022",True,False,False,False,https://readysteadycut.com/2019/10/04/joker-review-2019/,Joker is violent&#44; raw&#44; and hits closer to home than many are willing to admit&#46;&#10;&#10;,102721933,4/5,POSITIVE,M.N. Miller,http://resizing.flixster.com/ClODapRn1T64nRB0q3eI0EdaKG8=/128x128/v1.YzsxMDAwMDAyNzcyO2o7MTkzMTQ7MjA0ODsyOTE7Mjkx,mn-miller,3725,Ready Steady Cut
2,"Aug 12, 2022",True,False,False,False,https://www.canberratimes.com.au/story/6421336/this-joker-is-dark-and-disturbing/,"Phoenix's preparation for and commitment to this role honours Ledger and his other predecessors, with an exhausted physicality, contortionist and Gollum-gaunt.",102718214,5/5,POSITIVE,Cris Kennedy,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,cris-kennedy,2111,The Canberra Times (Australia)
3,"Apr 12, 2022",True,False,False,False,https://youtu.be/iFqa9lBCQ3k,The Joker is a powerful idea about accountability in our society but it's clear the script wasn't there. Luckily they were able to make it work with improv and interpretive dance.,102679059,B,POSITIVE,Alachia Queen,http://resizing.flixster.com/j9-mmAkO1W5vZpqYq9UqxOZKPzw=/128x128/v1.YzsyODA5O2c7MTkzMDU7MjA0ODsxNTA7MTUw,alachia-queen,2924,Alachia Queen
4,"Feb 23, 2022",False,True,False,False,https://deepfocusreview.com/reviews/joker/,"It's less a genuinely transgressive approach than one closely modeled on the work of Martin Scorsese, and thus more an exercise in homage than rebellion. Even so, that won't stop people from aggrandizing it.",102660746,2.5/4,NEGATIVE,Brian Eggert,http://resizing.flixster.com/ARlILdRJ3N3i_mqLb9iY4HnnLco=/128x128/v1.Yzs0MDQzO3A7MTkzMDU7MjA0ODszODA7Mzgw,brian-eggert,100009573,Deep Focus Review
5,"Feb 12, 2022",True,False,False,False,https://www.reeltalkinc.com/joker/,"Every decade has that one transcendent film that, as time progresses, ultimately becomes a classic for cinephiles. As the 2010s decade comes to a close, the one film that will undoubtedly age like a fine wine is Todd Phillips masterpiece, Joker.",102656251,4/4,POSITIVE,David Gonzalez,http://resizing.flixster.com/P1GcopbTaa-jgDOax6tvWriT8Kk=/128x128/v1.Yzs0MDQ0O2o7MTkzMDU7MjA0ODsxMzUzOzEzNTM,david-gonzalez-29660,100009585,Reel Talk Inc.
6,"Feb 9, 2022",False,True,False,False,https://www.comicsbeat.com/joker-review/,"As committed as I was to Phoenixs performance, I found myself walking out of the theater wondering, why did we need to tell this deeply violent and triggering story now? Where does DC go from here and this standalone film? ",102653676,D,NEGATIVE,Kay-B,http://resizing.flixster.com/ZFCbWJe6S4sDvha8Cp1tgsoDCLk=/128x128/v1.YzszOTEzO2o7MTkzMDU7MjA0ODszMDA7MzAw,kay-b-19712,3378,The Beat
7,"Oct 2, 2021",True,False,False,False,https://open.spotify.com/episode/2Ojbu15msdon1x5QZ4bdyB?si=M9JfVCyySzGDl3XVmjjE1A&dl_branch=1,"""Joker"" a lovely homage to films of a previous era and a subversive take on the ""formula"" of superhero/comic-book media.",2828433,,POSITIVE,Don Shanahan,http://resizing.flixster.com/ngp091oH51r1ZeIXUq5z5EY4r7M=/128x128/v1.YzszMDc5O2o7MTkzMDU7MjA0ODszMDA7MzAw,don-shanahan,4073,Cinephile Hissy Fit Podcast
8,"Sep 5, 2021",True,False,False,False,https://www.youtube.com/watch?v=RyQj_BUshHM,"If cinema's job is to make us feel, to make us reflect upon how we've been living life, and to acknowledge some of its own brand of crazy, then I think Joker did a damn good job.",2820226,,POSITIVE,Nicholas Oon,http://resizing.flixster.com/RKnZveTGqAtGWvAE14bgYfufBec=/128x128/v1.YzszOTkxO3A7MTkzMDU7MjA0ODsxMDAwOzEwMDA,nicholas-oon,4038,Maximum Hype (YouTube)
9,"Aug 10, 2021",False,True,False,False,https://shuffleonline.net/2019/10/24/joker-film-review/,It's a disappointing film only because it could have been so much better.,2812434,,NEGATIVE,Maria Lattila,http://resizing.flixster.com/J2SetJXjnzuWX3PgL9cCiJ7UTc8=/128x128/v1.YzszOTcwO2o7MTkzMDU7MjA0ODszMDA7MzAw,maria-lattila,3841,Shuffle Online
